cliente_id,nombre_comercial,canal,region,distrito,fecha_alta,estado
C00001,Bodega Ramos 115,Bodega,Callao,Cercado,2018-04-13,ACTIVO
C00002,Restaurante Ramos 759,Restaurante/Bar,Lima Sur,Comas,2024-02-12,ACTIVO
C00003,Minimarket García 239,Minimarket,Lima Norte,Los Olivos,2023-09-01,ACTIVO
C00004,Bodega Castillo 430,Bodega,Piura,Villa El Salvador,2020-06-21,INACTIVO
C00005,Bodega Díaz 826,Bodega,Trujillo,Cercado,2019-10-16,ACTIVO
C00006,Bodega Díaz 345,Bodega,Lima Sur,Cayma,2019-02-23,ACTIVO
C00007,Bodega Vargas 271,Bodega,Piura,La Esperanza,2018-06-27,ACTIVO
C00008,Restaurante Castillo 301,Restaurante/Bar,Arequipa,Los Olivos,2025-01-18,ACTIVO
C00009,Bodega Ramos 234,Bodega,Lima Sur,Paucarpata,2021-03-31,ACTIVO
C00010,Minimarket Rojas 465,Minimarket,Arequipa,Cayma,2025-02-16,ACTIVO
C00011,Bodega Rojas 719,Bodega,Lima Sur,Cercado,2025-08-31,ACTIVO
C00012,Restaurante García 168,Restaurante/Bar,Trujillo,La Esperanza,2023-03-09,ACTIVO
C00013,Mayorista Castillo 225,Mayorista,Arequipa,Villa El Salvador,2025-09-05,ACTIVO
C00014,Bodega Paredes 33,Bodega,Trujillo,Ate,2021-07-16,INACTIVO
C00015,Bodega Vargas 898,Bodega,Arequipa,Castilla,2026-01-19,ACTIVO
C00016,Bodega Ramos 470,Bodega,Callao,Los Olivos,2019-08-09,ACTIVO
C00017,Bodega Rojas 765,Bodega,Trujillo,El Porvenir,2024-07-22,ACTIVO
C00018,Bodega Huamán 522,Bodega,Lima Sur,Paucarpata,2023-07-15,ACTIVO
C00019,Bodega Ramos 164,Bodega,Trujillo,El Porvenir,2025-08-19,ACTIVO
C00020,Bodega Sánchez 542,Bodega,Cusco,Comas,2020-10-26,ACTIVO
C00021,Bodega Flores 699,Bodega,Callao,Cayma,2024-01-09,ACTIVO
C00022,Bodega Mamani 162,Bodega,Lima Norte ,Wanchaq,2023-02-02,ACTIVO
C00023,Bodega Castillo 935,Bodega,Callao,Wanchaq,2019-03-12,ACTIVO
C00024,Bodega Huamán 383,Bodega,CUSCO,Miraflores,2019-10-24,ACTIVO
C00025,Bodega Quispe 115,Bodega,Callao,Ate,2022-01-26,INACTIVO
C00026,Mayorista Flores 88,Mayorista,Piura,Villa El Salvador,2026-03-17,ACTIVO
C00027,Bodega Huamán 132,Bodega,piura,Ventanilla,2025-05-26,ACTIVO
C00028,Bodega Vargas 434,Bodega,Cusco,Los Olivos,2020-05-17,ACTIVO
C00029,Bodega Rojas 409,Bodega,Arequipa,Wanchaq,2025-07-14,ACTIVO
C00030,Bodega García 231,Bodega,Arequipa,Wanchaq,,ACTIVO
C00031,Bodega García 8,Bodega,Lima Norte,La Esperanza,2018-10-18,ACTIVO
C00032,Bodega Torres 73,Bodega,Lima Este,Castilla,2023-10-07,ACTIVO
C00033,Bodega Huamán 741,Bodega,Piura,Castilla,2024-05-27,ACTIVO
C00034,Restaurante García 97,Restaurante/Bar,Trujillo,El Porvenir,2019-02-02,ACTIVO
C00035,Restaurante Chávez 56,Restaurante/Bar,Lima Sur,Los Olivos,2025-07-21,ACTIVO
C00036,Mayorista Paredes 112,Mayorista,Lima Este,Castilla,2020-10-15,ACTIVO
C00037,Bodega Huamán 286,Bodega,Lima Este,San Juan,2023-03-10,ACTIVO
C00038,Bodega Paredes 877,Bodega,Lima Sur,Wanchaq,2024-03-04,ACTIVO
C00039,Minimarket Flores 949,Minimarket,Lima Centro,Castilla,2020-08-26,ACTIVO
C00040,Bodega Mamani 925,Bodega,Lima Centro,El Porvenir,2018-08-29,ACTIVO
C00041,Bodega Díaz 804,Bodega,Callao,Los Olivos,2023-02-07,INACTIVO
C00042,Bodega Castillo 678,Bodega,Piura,Ventanilla,2026-01-21,ACTIVO
C00043,Bodega Quispe 594,Bodega,Lima Norte,Comas,2024-01-30,ACTIVO
C00044,Restaurante Sánchez 515,Restaurante/Bar,Lima Centro,Wanchaq,2023-12-16,ACTIVO
C00045,Bodega Huamán 71,Bodega,Lima Sur,Ate,2024-09-03,ACTIVO
C00046,Minimarket Vargas 253,Minimarket,Lima Norte,El Porvenir,2024-06-29,ACTIVO
C00047,Bodega Vargas 536,Bodega,Callao,Los Olivos,2021-07-19,ACTIVO
C00048,Bodega Rojas 406,Bodega,Callao,La Esperanza,2019-06-21,ACTIVO
C00049,Bodega Flores 10,Bodega,Lima Sur,Ate,2023-02-21,ACTIVO
C00050,Bodega Huamán 956,Bodega,Lima Sur,Cayma,2021-11-30,ACTIVO
C00051,Restaurante Sánchez 854,Restaurante/Bar,Callao,Villa El Salvador,2024-02-04,ACTIVO
C00052,Mayorista Quispe 684,Mayorista,Callao,San Juan,2024-03-21,INACTIVO
C00053,Restaurante Huamán 271,Restaurante/Bar,Lima Sur,Cercado,2019-04-18,ACTIVO
C00054,Restaurante Vargas 216,Restaurante/Bar,Arequipa,Surco,2026-01-18,INACTIVO
C00055,Bodega Castillo 501,Bodega,Lima Norte,El Porvenir,2020-10-25,ACTIVO
C00056,Restaurante Quispe 4,Restaurante/Bar,Lima Centro,Ventanilla,2021-09-28,ACTIVO
C00057,Bodega Sánchez 565,Bodega,Trujillo,San Juan,2025-11-30,ACTIVO
C00058,Bodega Chávez 926,Bodega,Cusco,Cayma,2019-09-03,ACTIVO
C00059,Bodega Huamán 441,Bodega,Lima Norte,La Esperanza,2019-06-07,INACTIVO
C00060,Bodega Paredes 41,Bodega,Lima Este,Surco,2022-01-05,ACTIVO
C00061,Bodega Díaz 574,Bodega,Lima Centro,Ate,2022-07-23,INACTIVO
C00062,Bodega Díaz 831,Bodega,Trujillo,Los Olivos,2019-12-27,INACTIVO
C00063,Mayorista Díaz 954,Mayorista,Lima Este,Villa El Salvador,2022-08-14,ACTIVO
C00064,Bodega Mamani 894,Bodega,Piura,Paucarpata,2018-06-08,INACTIVO
C00065,Bodega Torres 313,Bodega,Lima Este,Ate,2020-07-21,ACTIVO
C00066,Bodega Rojas 886,Bodega,Callao,Wanchaq,2018-10-12,ACTIVO
C00067,Bodega Paredes 550,Bodega,Lima Norte,Ventanilla,2021-09-18,ACTIVO
C00068,Mayorista Rojas 40,Mayorista,Trujillo,Villa El Salvador,2019-03-21,ACTIVO
C00069,Bodega Vargas 524,Bodega,Trujillo,Ate,2019-04-19,ACTIVO
C00070,Restaurante Chávez 447,Restaurante/Bar,Cusco,Wanchaq,2018-01-07,ACTIVO
C00071,Mayorista Chávez 755,Mayorista,Lima Este,San Juan,2025-07-09,INACTIVO
C00072,Bodega Torres 639,Bodega,Lima Sur,Ventanilla,2021-07-09,ACTIVO
