orden_id,cliente_id,fecha_pedido,fecha_entrega,fecha_proceso,canal_venta,estado,monto_total,es_duplicado,orden_id_original_duplicado,fecha_proceso_original,fecha_pedido_original,fecha_entrega_original,estado_original,monto_total_original,motivo_rechazo
ORD-000247,C00035,2025-06-14,2025-06-16,2025-06-16,TELEVENTAS,ENTREGADO,133.06,True,ORD-000247,2025-06-16,2025-06-14,2025-06-16,ENTREGADO,133.06,❌ orden_id: duplicado (CRÍTICO - ORD-000247 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-000118,C00565,2025-06-16,2025-06-17,2025-06-18,VENDEDOR,ENTREGADO,196.96,True,ORD-000118,2025-06-18,2025-06-16,2025-06-17,ENTREGADO,196.96,❌ orden_id: duplicado (CRÍTICO - ORD-000118 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004390,C00478,2026-02-28,2026-03-03,2026-03-03,APP B2B,ENTREGADO,144.37,True,ORD-004390,2026-03-03,2026-02-28,2026-03-03,ENTREGADO,144.37,❌ orden_id: duplicado (CRÍTICO - ORD-004390 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002422,C00044,2025-11-21,2025-11-22,2025-11-22,TELEVENTAS,ENTREGADO,-12.9,False,,2025-11-22,2025-11-21,2025-11-22,ENTREGADO,-12.9,monto_total: debe ser > 0 (valor: -12.9)
ORD-000905,C00212,2025-07-02,2025-07-03,2025-07-03,VENDEDOR,ENTREGADO,560.54,True,ORD-000905,2025-07-03,2025-07-02,2025-07-03,ENTREGADO,560.54,❌ orden_id: duplicado (CRÍTICO - ORD-000905 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003340,C00003,2025-12-29,2025-12-29,2025-12-29,TELEVENTAS,ENTREGADO,159.3,True,ORD-003340,2025-12-29,2025-12-29,2025-12-29,Entregado,159.3,❌ orden_id: duplicado (CRÍTICO - ORD-003340 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003816,C00001,2026-01-18,2026-01-19,2026-01-20,VENDEDOR,ENTREGADO,567.88,True,ORD-003816,2026-01-20,2026-01-18,2026-01-19,Entregado,567.88,❌ orden_id: duplicado (CRÍTICO - ORD-003816 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004421,C00098,2026-02-07,2026-02-08,2026-02-08,TELEVENTAS,ENTREGADO,403.19,True,ORD-004421,2026-02-08,2026-02-07,2026-02-08,ENTREGADO,403.19,❌ orden_id: duplicado (CRÍTICO - ORD-004421 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004965,C00007,2026-04-26,2026-04-26,2026-04-28,APP B2B,ENTREGADO,0.0,False,,2026-04-28,2026-04-26,2026-04-26,ENTREGADO,0.0,monto_total: debe ser > 0 (valor: 0.0)
ORD-004461,C00157,2026-03-25,2026-03-25,2026-03-26,APP B2B,ENTREGADO,0.0,False,,2026-03-26,2026-03-25,2026-03-25,ENTREGADO,0.0,monto_total: debe ser > 0 (valor: 0.0)
ORD-001922,C00026,2025-10-02,2025-10-03,2025-10-03,APP B2B,ENTREGADO,86.64,True,ORD-001922,2025-10-03,2025-10-02,2025-10-03,ENTREGADO,86.64,❌ orden_id: duplicado (CRÍTICO - ORD-001922 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002497,C00277,2025-11-30,2025-11-30,2025-11-30,APP B2B,ENTREGADO,450.85,True,ORD-002497,2025-11-30,2025-11-30,2025-11-30,Entregado,450.85,❌ orden_id: duplicado (CRÍTICO - ORD-002497 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003031,C00051,2025-12-21,2025-12-22,2025-12-23,APP B2B,ENTREGADO,-12.32,False,,2025-12-23,2025-12-21,2025-12-22,entregado,-12.32,monto_total: debe ser > 0 (valor: -12.32)
ORD-005293,C00132,2026-04-27,2026-04-29,2026-04-29,VENDEDOR,ENTREGADO,442.08,True,ORD-005293,2026-04-29,2026-04-27,2026-04-29,Entregado,442.08,❌ orden_id: duplicado (CRÍTICO - ORD-005293 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003250,C00482,2025-12-12,2025-12-14,2025-12-15,APP B2B,ENTREGADO,292.67,True,ORD-003250,2025-12-15,2025-12-12,2025-12-14,entregado,292.67,❌ orden_id: duplicado (CRÍTICO - ORD-003250 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004469,C00054,2026-03-29,2026-03-29,2026-04-03,DISTRIBUIDOR,ENTREGADO,490.93,True,ORD-004469,2026-04-03,2026-03-29,29/03/2026,ENTREGADO,490.93,❌ orden_id: duplicado (CRÍTICO - ORD-004469 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004976,C00777,2026-04-08,2026-04-09,2026-04-10,TELEVENTAS,ENTREGADO,237.54,True,ORD-004976,2026-04-10,2026-04-08,2026-04-09,Entregado,237.54,❌ orden_id: duplicado (CRÍTICO - ORD-004976 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004037,C00479,2026-02-16,2026-02-16,2026-02-17,VENDEDOR,ENTREGADO,124.07,True,ORD-004037,2026-02-17,2026-02-16,2026-02-16,Entregado,124.07,❌ orden_id: duplicado (CRÍTICO - ORD-004037 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003022,C00003,2025-12-21,2025-12-22,2025-12-22,APP B2B,ENTREGADO,477.31,True,ORD-003022,2025-12-22,2025-12-21,2025-12-22,ENTREGADO,477.31,❌ orden_id: duplicado (CRÍTICO - ORD-003022 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-000475,C00253,2025-06-06,2025-06-09,2025-06-09,VENDEDOR,ENTREGADO,12.83,True,ORD-000475,2025-06-09,2025-06-06,2025-06-09,Entregado,12.83,❌ orden_id: duplicado (CRÍTICO - ORD-000475 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-000189,C00015,2025-06-29,2025-06-29,2025-06-30,VENDEDOR,ENTREGADO,560.83,True,ORD-000189,2025-06-30,2025-06-29,2025-06-29,entregado,560.83,❌ orden_id: duplicado (CRÍTICO - ORD-000189 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002576,C00132,2025-11-05,2025-11-05,2025-11-06,APP B2B,ENTREGADO,325.9,True,ORD-002576,2025-11-06,2025-11-05,2025-11-05,ENTREGADO,325.9,❌ orden_id: duplicado (CRÍTICO - ORD-002576 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003018,C00234,2025-12-08,2025-12-09,2025-12-09,APP B2B,ENTREGADO,177.76,True,ORD-003018,2025-12-09,2025-12-08,2025-12-09,ENTREGADO,177.76,❌ orden_id: duplicado (CRÍTICO - ORD-003018 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002767,C00758,2025-11-22,2025-11-25,2025-11-26,TELEVENTAS,ENTREGADO,252.8,True,ORD-002767,2025-11-26,2025-11-22,2025-11-25,ENTREGADO,252.8,❌ orden_id: duplicado (CRÍTICO - ORD-002767 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-000906,C00174,2025-07-16,2025-07-19,2025-07-19,TELEVENTAS,ENTREGADO,787.9,True,ORD-000906,2025-07-19,2025-07-16,2025-07-19,ENTREGADO,787.9,❌ orden_id: duplicado (CRÍTICO - ORD-000906 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-005192,C00219,2026-04-26,2026-04-28,2026-04-28,APP B2B,ENTREGADO,616.78,True,ORD-005192,2026-04-28,2026-04-26,2026-04-28,ENTREGADO,616.78,❌ orden_id: duplicado (CRÍTICO - ORD-005192 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-001558,C00001,2025-09-04,2025-09-04,2025-09-05,APP B2B,ENTREGADO,187.72,True,ORD-001558,2025-09-05,2025-09-04,2025-09-04,Entregado,187.72,❌ orden_id: duplicado (CRÍTICO - ORD-001558 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-000632,C00050,2025-07-16,2025-07-17,2025-07-17,VENDEDOR,ENTREGADO,134.78,True,ORD-000632,2025-07-17,2025-07-16,2025-07-17,ENTREGADO,134.78,❌ orden_id: duplicado (CRÍTICO - ORD-000632 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-005117,C00034,2026-04-08,2026-04-11,2026-04-12,TELEVENTAS,ENTREGADO,206.98,True,ORD-005117,2026-04-12,2026-04-08,2026-04-11,ENTREGADO,206.98,❌ orden_id: duplicado (CRÍTICO - ORD-005117 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-005628,C00423,2026-05-12,2026-05-13,2026-05-13,VENDEDOR,ENTREGADO,23.2,True,ORD-005628,2026-05-13,2026-05-12,2026-05-13,entregado,23.2,❌ orden_id: duplicado (CRÍTICO - ORD-005628 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003442,C00153,2025-12-11,2025-12-13,2025-12-14,VENDEDOR,ENTREGADO,307.59,True,ORD-003442,2025-12-14,2025-12-11,2025-12-13,ENTREGADO,307.59,❌ orden_id: duplicado (CRÍTICO - ORD-003442 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004054,C00046,2026-02-06,2026-02-09,2026-02-09,APP B2B,ENTREGADO,0.0,False,,2026-02-09,2026-02-06,2026-02-09,Entregado,0.0,monto_total: debe ser > 0 (valor: 0.0)
ORD-002589,C00051,2025-11-04,2025-11-07,2025-11-07,APP B2B,ENTREGADO,197.96,True,ORD-002589,2025-11-07,2025-11-04,2025-11-07,Entregado,197.96,❌ orden_id: duplicado (CRÍTICO - ORD-002589 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002028,C00069,2025-10-21,2025-10-21,2025-10-22,TELEVENTAS,ENTREGADO,179.52,True,ORD-002028,2025-10-22,2025-10-21,2025-10-21,ENTREGADO,179.52,❌ orden_id: duplicado (CRÍTICO - ORD-002028 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002291,C00258,2025-10-06,2025-10-08,2025-10-09,APP B2B,ENTREGADO,374.11,True,ORD-002291,2025-10-09,2025-10-06,2025-10-08,ENTREGADO,374.11,❌ orden_id: duplicado (CRÍTICO - ORD-002291 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
